hd,name,object,info,price,img
60287,60287,"star","",0.015,""
60290,60290,"star","",0.015,""
60292,60292,"star","",0.015,""
60293,60293,"star","",0.015,""
60294,60294,"star","",0.015,""
60296,60296,"star","",0.015,""
60298,60298,"star","",0.015,""
60299,60299,"star","",0.015,""
60301,60301,"star","",0.015,""
60302,60302,"star","",0.015,""
60303,60303,"star","",0.015,""
60304,60304,"star","",0.015,""
60306,60306,"star","",0.015,""
60308,60308,"star","",0.015,""
60312,60312,"star","",0.015,""
60316,60316,"star","",0.015,""
60318,60318,"star","",0.015,""
60319,60319,"star","",0.015,""
60325,60325,"star","",0.015,""
60330,60330,"star","",0.015,""
60335,60335,"star","",0.015,""
60336,60336,"star","",0.015,""
60341,60341,"star","",0.015,""
60344,60344,"star","",0.015,""
60345,60345,"star","",0.015,""
60353,60353,"star","",0.015,""
60355,60355,"star","",0.015,""
60357,60357,"star","",0.015,""
60368,60368,"star","",0.015,""
60369,60369,"star","",0.015,""
60370,60370,"star","",0.015,""
60373,60373,"star","",0.015,""
60378,60378,"star","",0.015,""
60380,60380,"star","",0.015,""
60383,60383,"star","",0.015,""
60394,60394,"star","",0.015,""
60402,60402,"star","",0.015,""
60403,60403,"star","",0.015,""
60404,60404,"star","",0.015,""
60405,60405,"star","",0.015,""
60406,60406,"star","",0.015,""
60407,60407,"star","",0.015,""
60408,60408,"star","",0.015,""
60414,60414,"star","",0.015,""
60434,60434,"star","",0.015,""
60435,60435,"star","",0.015,""
60436,60436,"star","",0.015,""
60437,60437,"star","",0.015,""
60440,60440,"star","",0.015,""
60442,60442,"star","",0.015,""
60446,60446,"star","",0.015,""
60452,60452,"star","",0.015,""
60455,60455,"star","",0.015,""
60456,60456,"star","",0.015,""
60463,60463,"star","",0.015,""
60464,60464,"star","",0.015,""
60469,60469,"star","",0.015,""
60470,60470,"star","",0.015,""
60471,60471,"star","",0.015,""
60473,60473,"star","",0.015,""
60475,60475,"star","",0.015,""
60479,60479,"star","",0.015,""
60484,60484,"star","",0.015,""
60487,60487,"star","",0.015,""
60489,60489,"star","",0.015,""
60490,60490,"star","",0.015,""
60491,60491,"star","",0.015,""
60498,60498,"star","",0.015,""
60500,60500,"star","",0.015,""
60501,60501,"star","",0.015,""
60502,60502,"star","",0.015,""
60503,60503,"star","",0.015,""
60504,60504,"star","",0.015,""
60508,60508,"star","",0.015,""
60513,60513,"star","",0.015,""
60517,60517,"star","",0.015,""
60519,60519,"star","",0.015,""
60521,60521,"star","",0.015,""
60522,60522,"star","",0.015,""
60525,60525,"star","",0.015,""
60526,60526,"star","",0.015,""
60531,60531,"star","",0.015,""
60532,60532,"star","HD 60532 is a white (F-type) main sequence star located approximately 84 light-years away in the constellation of Puppis, taking its primary name from its Henry Draper Catalogue designation.",0.015,""
60537,60537,"star","",0.015,""
60543,60543,"star","",0.015,""
60548,60548,"star","",0.015,""
60549,60549,"star","",0.015,""
60552,60552,"star","",0.015,""
60553,60553,"star","",0.015,""
60555,60555,"star","",0.015,""
60556,60556,"star","",0.015,""
60559,60559,"star","",0.015,""
60560,60560,"star","",0.015,""
60561,60561,"star","",0.015,""
60563,60563,"star","",0.015,""
60568,60568,"star","",0.015,""
60571,60571,"star","",0.015,""
60574,60574,"star","",0.015,""
60575,60575,"star","",0.015,""
60577,60577,"star","",0.015,""
60580,60580,"star","",0.015,""
60584,60584,"star","",0.015,""
60601,60601,"star","",0.015,""
60603,60603,"star","",0.015,""
60604,60604,"star","",0.015,""
60605,60605,"star","",0.015,""
60606,60606,"star","",0.015,""
60608,60608,"star","",0.015,""
60609,60609,"star","",0.015,""
60613,60613,"star","",0.015,""
60614,60614,"star","",0.015,""
60615,60615,"star","",0.015,""
60616,60616,"star","",0.015,""
60618,60618,"star","",0.015,""
60620,60620,"star","",0.015,""
60629,60629,"star","",0.015,""
60635,60635,"star","",0.015,""
60639,60639,"star","",0.015,""
60646,60646,"star","",0.015,""
60649,60649,"star","",0.015,""
60650,60650,"star","",0.015,""
60652,60652,"star","",0.015,""
60653,60653,"star","",0.015,""
60654,60654,"star","",0.015,""
60665,60665,"star","",0.015,""
60666,60666,"star","",0.015,""
60668,60668,"star","",0.015,""
60673,60673,"star","",0.015,""
60674,60674,"star","",0.015,""
60675,60675,"star","",0.015,""
60676,60676,"star","",0.015,""
60678,60678,"star","",0.015,""
60686,60686,"star","",0.015,""
60687,60687,"star","",0.015,""
60693,60693,"star","",0.015,""
60694,60694,"star","",0.015,""
60700,60700,"star","",0.015,""
60710,60710,"star","",0.015,""
60713,60713,"star","",0.015,""
60716,60716,"star","",0.015,""
60720,60720,"star","",0.015,""
60725,60725,"star","",0.015,""
60729,60729,"star","",0.015,""
60731,60731,"star","",0.015,""
60734,60734,"star","",0.015,""
60737,60737,"star","",0.015,""
60742,60742,"star","",0.015,""
60747,60747,"star","",0.015,""
60752,60752,"star","",0.015,""
60753,60753,"star","",0.015,""
60755,60755,"star","",0.015,""
60757,60757,"star","",0.015,""
60759,60759,"star","",0.015,""
60760,60760,"star","",0.015,""
60765,60765,"star","",0.015,""
60766,60766,"star","",0.015,""
60769,60769,"star","",0.015,""
60771,60771,"star","",0.015,""
60772,60772,"star","",0.015,""
60773,60773,"star","",0.015,""
60776,60776,"star","",0.015,""
60778,60778,"star","",0.015,""
60779,60779,"star","",0.015,""
60791,60791,"star","",0.015,""
60792,60792,"star","",0.015,""
60800,60800,"star","",0.015,""
60801,60801,"star","",0.015,""
60803,60803,"star","",0.015,""
60805,60805,"star","",0.015,""
60807,60807,"star","",0.015,""
60812,60812,"star","",0.015,""
60813,60813,"star","",0.015,""
60814,60814,"star","",0.015,""
60816,60816,"star","",0.015,""
60817,60817,"star","",0.015,""
60818,60818,"star","",0.015,""
60819,60819,"star","",0.015,""
60820,60820,"star","",0.015,""
60821,60821,"star","",0.015,""
60823,60823,"star","",0.015,""
60825,60825,"star","",0.015,""
60826,60826,"star","",0.015,""
60834,60834,"star","",0.015,""
60837,60837,"star","",0.015,""
60839,60839,"star","",0.015,""
60842,60842,"star","",0.015,""
60843,60843,"star","",0.015,""
60844,60844,"star","",0.015,""
60845,60845,"star","",0.015,""
60846,60846,"star","",0.015,""
60847,60847,"star","",0.015,""
60848,60848,"star","",0.015,""
60849,60849,"star","",0.015,""
60853,60853,"star","",0.015,""
60855,60855,"star","",0.015,""
60856,60856,"star","",0.015,""
60861,60861,"star","",0.015,""
60862,60862,"star","",0.015,""
60863,60863,"star","HD 60863 is a class B8V (blue main-sequence) star in the constellation Puppis. Its apparent magnitude is 4.65 and it is approximately 222 light years away based on parallax.",0.015,""
60865,60865,"star","",0.015,""
60868,60868,"star","",0.015,""
60873,60873,"star","",0.015,""
60875,60875,"star","",0.015,""
60879,60879,"star","",0.015,""
60880,60880,"star","",0.015,""
60889,60889,"star","",0.015,""
60906,60906,"star","",0.015,""
60907,60907,"star","",0.015,""
60911,60911,"star","",0.015,""
60912,60912,"star","",0.015,""
60914,60914,"star","",0.015,""
60915,60915,"star","",0.015,""
60921,60921,"star","",0.015,""
60922,60922,"star","",0.015,""
60929,60929,"star","",0.015,""
60930,60930,"star","",0.015,""
60931,60931,"star","",0.015,""
60932,60932,"star","",0.015,""
60935,60935,"star","",0.015,""
60938,60938,"star","",0.015,""
60945,60945,"star","",0.015,""
60951,60951,"star","",0.015,""
60954,60954,"star","",0.015,""
60956,60956,"star","",0.015,""
60958,60958,"star","",0.015,""
60959,60959,"star","",0.015,""
60961,60961,"star","",0.015,""
60963,60963,"star","",0.015,""
60966,60966,"star","",0.015,""
60969,60969,"star","",0.015,""
60973,60973,"star","",0.015,""
60977,60977,"star","",0.015,""
60982,60982,"star","",0.015,""
60983,60983,"star","",0.015,""
60984,60984,"star","",0.015,""
60986,60986,"star","",0.015,""
60987,60987,"star","",0.015,""
60988,60988,"star","",0.015,""
60993,60993,"star","",0.015,""
60999,60999,"star","",0.015,""
61005,61005,"star","HD 61005 is a G8Vk class star in the constellation of Puppis with an associated accretion disk that has helped astronomers understand the process of planetary formation.",0.015,""
61006,61006,"star","",0.015,""
61008,61008,"star","",0.015,""
61010,61010,"star","",0.015,""
61011,61011,"star","",0.015,""
61012,61012,"star","",0.015,""
61016,61016,"star","",0.015,""
61017,61017,"star","",0.015,""
61024,61024,"star","",0.015,""
61025,61025,"star","",0.015,""
61026,61026,"star","",0.015,""
61030,61030,"star","",0.015,""
61031,61031,"star","",0.015,""
61033,61033,"star","",0.015,""
61034,61034,"star","",0.015,""
61035,61035,"star","",0.015,""
61037,61037,"star","",0.015,""
61038,61038,"star","",0.015,""
61039,61039,"star","",0.015,""
61045,61045,"star","",0.015,""
61049,61049,"star","",0.015,""
61051,61051,"star","",0.015,""
61055,61055,"star","",0.015,""
61056,61056,"star","",0.015,""
61058,61058,"star","",0.015,""
61059,61059,"star","",0.015,""
61060,61060,"star","",0.015,""
61061,61061,"star","",0.015,""
61064,61064,"star","",0.015,""
61068,61068,"star","",0.015,""
61071,61071,"star","",0.015,""
61073,61073,"star","",0.015,""
61075,61075,"star","",0.015,""
61076,61076,"star","",0.015,""
61077,61077,"star","",0.015,""
61079,61079,"star","",0.015,""
61085,61085,"star","",0.015,""
61087,61087,"star","",0.015,""
61089,61089,"star","",0.015,""
61092,61092,"star","",0.015,""
61093,61093,"star","",0.015,""
61095,61095,"star","",0.015,""
61106,61106,"star","",0.015,""
61107,61107,"star","",0.015,""
61109,61109,"star","",0.015,""
61110,61110,"star","",0.015,""
61120,61120,"star","",0.015,""
61122,61122,"star","",0.015,""
61124,61124,"star","",0.015,""
61135,61135,"star","",0.015,""
61142,61142,"star","",0.015,""
61144,61144,"star","",0.015,""
61145,61145,"star","",0.015,""
61146,61146,"star","",0.015,""
61149,61149,"star","",0.015,""
61151,61151,"star","",0.015,""
61160,61160,"star","",0.015,""
61168,61168,"star","",0.015,""
61169,61169,"star","",0.015,""
61173,61173,"star","",0.015,""
61174,61174,"star","",0.015,""
61175,61175,"star","",0.015,""
61176,61176,"star","",0.015,""
61183,61183,"star","",0.015,""
61187,61187,"star","",0.015,""
61191,61191,"star","",0.015,""
61192,61192,"star","",0.015,""
61194,61194,"star","",0.015,""
61195,61195,"star","",0.015,""
61196,61196,"star","",0.015,""
61197,61197,"star","",0.015,""
61202,61202,"star","",0.015,""
61204,61204,"star","",0.015,""
61207,61207,"star","",0.015,""
61209,61209,"star","",0.015,""
61214,61214,"star","",0.015,""
61216,61216,"star","",0.015,""
61219,61219,"star","",0.015,""
61224,61224,"star","",0.015,""
61227,61227,"star","",0.015,""
61232,61232,"star","",0.015,""
61233,61233,"star","",0.015,""
61234,61234,"star","",0.015,""
61236,61236,"star","",0.015,""
61243,61243,"star","",0.015,""
61245,61245,"star","",0.015,""
61248,61248,"star","",0.015,""
61250,61250,"star","",0.015,""
61251,61251,"star","",0.015,""
61252,61252,"star","",0.015,""
61253,61253,"star","",0.015,""
61258,61258,"star","",0.015,""
61261,61261,"star","",0.015,""
61267,61267,"star","",0.015,""
61268,61268,"star","",0.015,""
61272,61272,"star","",0.015,""
61273,61273,"star","",0.015,""
61275,61275,"star","",0.015,""
61277,61277,"star","",0.015,""
61290,61290,"star","",0.015,""
61294,61294,"star","",0.015,""
61295,61295,"star","",0.015,""
61297,61297,"star","",0.015,""
61308,61308,"star","",0.015,""
61310,61310,"star","",0.015,""
61311,61311,"star","",0.015,""
61312,61312,"star","",0.015,""
61313,61313,"star","",0.015,""
61314,61314,"star","",0.015,""
61316,61316,"star","",0.015,""
61317,61317,"star","",0.015,""
61323,61323,"star","",0.015,""
61328,61328,"star","",0.015,""
61330,61330,"star","HD 61330 (f Puppis) is a class B8IV (blue subgiant) star in the constellation Puppis. Its apparent magnitude is 4.53 and it is approximately 360 light years away based on parallax.",0.015,""
61332,61332,"star","",0.015,""
61333,61333,"star","",0.015,""
61336,61336,"star","",0.015,""
61337,61337,"star","",0.015,""
61338,61338,"star","",0.015,""
61339,61339,"star","",0.015,""
61340,61340,"star","",0.015,""
61341,61341,"star","",0.015,""
61343,61343,"star","",0.015,""
61344,61344,"star","",0.015,""
61347,61347,"star","",0.015,""
61361,61361,"star","",0.015,""
61362,61362,"star","",0.015,""
61363,61363,"star","",0.015,""
61364,61364,"star","",0.015,""
61366,61366,"star","",0.015,""
61367,61367,"star","",0.015,""
61373,61373,"star","",0.015,""
61376,61376,"star","",0.015,""
61377,61377,"star","",0.015,""
61378,61378,"star","",0.015,""
61381,61381,"star","",0.015,""
61382,61382,"star","",0.015,""
61383,61383,"star","",0.015,""
61390,61390,"star","",0.015,""
61391,61391,"star","",0.015,""
61394,61394,"star","",0.015,""
61396,61396,"star","",0.015,""
61409,61409,"star","",0.015,""
61415,61415,"star","",0.015,""
61418,61418,"star","",0.015,""
61420,61420,"star","",0.015,""
61422,61422,"star","",0.015,""
61428,61428,"star","",0.015,""
61429,61429,"star","",0.015,""
61430,61430,"star","",0.015,""
61431,61431,"star","",0.015,""
61435,61435,"star","",0.015,""
61436,61436,"star","",0.015,""
61437,61437,"star","",0.015,""
61439,61439,"star","",0.015,""
61447,61447,"star","",0.015,""
61452,61452,"star","",0.015,""
61453,61453,"star","",0.015,""
61459,61459,"star","",0.015,""
61463,61463,"star","",0.015,""
61465,61465,"star","",0.015,""
61468,61468,"star","",0.015,""
61470,61470,"star","",0.015,""
61472,61472,"star","",0.015,""
61475,61475,"star","",0.015,""
61478,61478,"star","",0.015,""
61480,61480,"star","",0.015,""
61495,61495,"star","",0.015,""
61496,61496,"star","",0.015,""
61497,61497,"star","",0.015,""
61499,61499,"star","",0.015,""
61500,61500,"star","",0.015,""
61501,61501,"star","",0.015,""
61506,61506,"star","",0.015,""
61507,61507,"star","",0.015,""
61512,61512,"star","",0.015,""
61516,61516,"star","",0.015,""
61517,61517,"star","",0.015,""
61518,61518,"star","",0.015,""
61520,61520,"star","",0.015,""
61521,61521,"star","",0.015,""
61522,61522,"star","",0.015,""
61523,61523,"star","",0.015,""
61524,61524,"star","",0.015,""
61525,61525,"star","",0.015,""
61526,61526,"star","",0.015,""
61532,61532,"star","",0.015,""
61535,61535,"star","",0.015,""
61539,61539,"star","",0.015,""
61541,61541,"star","",0.015,""
61544,61544,"star","",0.015,""
61545,61545,"star","",0.015,""
61551,61551,"star","",0.015,""
61554,61554,"star","",0.015,""
61555,61555,"star","",0.015,""
61558,61558,"star","",0.015,""
61560,61560,"star","",0.015,""
61562,61562,"star","",0.015,""
61564,61564,"star","",0.015,""
61574,61574,"star","",0.015,""
61576,61576,"star","",0.015,""
61577,61577,"star","",0.015,""
61580,61580,"star","",0.015,""
61581,61581,"star","",0.015,""
61583,61583,"star","",0.015,""
61589,61589,"star","",0.015,""
61590,61590,"star","",0.015,""
61595,61595,"star","",0.015,""
61597,61597,"star","",0.015,""
61600,61600,"star","",0.015,""
61602,61602,"star","",0.015,""
61603,61603,"star","",0.015,""
61605,61605,"star","",0.015,""
61606,61606,"star","",0.015,""
61609,61609,"star","",0.015,""
61611,61611,"star","",0.015,""
61619,61619,"star","",0.015,""
61623,61623,"star","",0.015,""
61630,61630,"star","",0.015,""
61632,61632,"star","",0.015,""
61637,61637,"star","",0.015,""
61640,61640,"star","",0.015,""
61641,61641,"star","",0.015,""
61642,61642,"star","",0.015,""
61644,61644,"star","",0.015,""
61645,61645,"star","",0.015,""
61649,61649,"star","",0.015,""
61650,61650,"star","",0.015,""
61653,61653,"star","",0.015,""
61655,61655,"star","",0.015,""
61657,61657,"star","",0.015,""
61658,61658,"star","",0.015,""
61659,61659,"star","",0.015,""
61660,61660,"star","",0.015,""
61664,61664,"star","",0.015,""
61671,61671,"star","",0.015,""
61672,61672,"star","",0.015,""
61675,61675,"star","",0.015,""
61679,61679,"star","",0.015,""
61680,61680,"star","",0.015,""
61686,61686,"star","",0.015,""
61687,61687,"star","",0.015,""
61689,61689,"star","",0.015,""
61690,61690,"star","",0.015,""
61691,61691,"star","",0.015,""
61694,61694,"star","",0.015,""
61699,61699,"star","",0.015,""
61708,61708,"star","",0.015,""
61711,61711,"star","",0.015,""
61712,61712,"star","",0.015,""
61715,61715,"star","",0.015,""
61717,61717,"star","",0.015,""
61719,61719,"star","",0.015,""
61721,61721,"star","",0.015,""
61725,61725,"star","",0.015,""
61726,61726,"star","",0.015,""
61732,61732,"star","",0.015,""
61735,61735,"star","",0.015,""
61738,61738,"star","",0.015,""
61740,61740,"star","",0.015,""
61741,61741,"star","",0.015,""
61745,61745,"star","",0.015,""
61747,61747,"star","",0.015,""
61748,61748,"star","",0.015,""
61749,61749,"star","",0.015,""
61750,61750,"star","",0.015,""
61758,61758,"star","",0.015,""
61759,61759,"star","",0.015,""
61762,61762,"star","",0.015,""
61763,61763,"star","",0.015,""
61764,61764,"star","",0.015,""
61766,61766,"star","",0.015,""
61771,61771,"star","",0.015,""
61772,61772,"star","HD 61772 is a class K3II (orange bright giant) star in the constellation Puppis. Its apparent magnitude is 4.98 and it is approximately 700 light years away based on parallax.",0.015,""
61774,61774,"star","",0.015,""
61777,61777,"star","",0.015,""
61782,61782,"star","",0.015,""
61785,61785,"star","",0.015,""
61787,61787,"star","",0.015,""
61789,61789,"star","",0.015,""
61799,61799,"star","",0.015,""
61805,61805,"star","",0.015,""
61806,61806,"star","",0.015,""
61811,61811,"star","",0.015,""
61813,61813,"star","",0.015,""
61824,61824,"star","",0.015,""
61827,61827,"star","",0.015,""
61828,61828,"star","",0.015,""
61831,61831,"star","HD 61831 (d1 Puppis) is a class B2.5V (blue dwarf) star in the constellation Puppis. Its apparent magnitude is 4.84 and it is approximately 556 light years away based on parallax.",0.015,""
61832,61832,"star","",0.015,""
61834,61834,"star","",0.015,""
61836,61836,"star","",0.015,""
61837,61837,"star","",0.015,""
61846,61846,"star","",0.015,""
61850,61850,"star","",0.015,""
61855,61855,"star","",0.015,""
61856,61856,"star","",0.015,""
61857,61857,"star","",0.015,""
61858,61858,"star","",0.015,""
61859,61859,"star","",0.015,""
61860,61860,"star","",0.015,""
61862,61862,"star","",0.015,""
61864,61864,"star","",0.015,""
61874,61874,"star","",0.015,""
61878,61878,"star","",0.015,""
61881,61881,"star","",0.015,""
61883,61883,"star","",0.015,""
61885,61885,"star","",0.015,""
61886,61886,"star","",0.015,""
61887,61887,"star","",0.015,""
61899,61899,"star","",0.015,""
61902,61902,"star","",0.015,""
61903,61903,"star","",0.015,""
61904,61904,"star","",0.015,""
61906,61906,"star","",0.015,""
61907,61907,"star","",0.015,""
61911,61911,"star","",0.015,""
61912,61912,"star","",0.015,""
61913,61913,"star","",0.015,""
61919,61919,"star","",0.015,""
61924,61924,"star","",0.015,""
61925,61925,"star","",0.015,""
61926,61926,"star","",0.015,""
61927,61927,"star","",0.015,""
61929,61929,"star","",0.015,""
61931,61931,"star","",0.015,""
61933,61933,"star","",0.015,""
61935,61935,"star","",0.015,""
61940,61940,"star","",0.015,""
61943,61943,"star","",0.015,""
61944,61944,"star","",0.015,""
61946,61946,"star","",0.015,""
61947,61947,"star","",0.015,""
61948,61948,"star","",0.015,""
61949,61949,"star","",0.015,""
61950,61950,"star","",0.015,""
61951,61951,"star","",0.015,""
61953,61953,"star","",0.015,""
61957,61957,"star","",0.015,""
61960,61960,"star","",0.015,""
61964,61964,"star","",0.015,""
61965,61965,"star","",0.015,""
61966,61966,"star","",0.015,""
61969,61969,"star","",0.015,""
61977,61977,"star","",0.015,""
61986,61986,"star","",0.015,""
61987,61987,"star","",0.015,""
61989,61989,"star","",0.015,""
61994,61994,"star","",0.015,""
61995,61995,"star","",0.015,""
61997,61997,"star","",0.015,""
62000,62000,"star","",0.015,""
62010,62010,"star","",0.015,""
62014,62014,"star","",0.015,""
62018,62018,"star","",0.015,""
62034,62034,"star","",0.015,""
62036,62036,"star","",0.015,""
62038,62038,"star","",0.015,""
62039,62039,"star","",0.015,""
62040,62040,"star","",0.015,""
62042,62042,"star","",0.015,""
62044,62044,"star","",0.015,""
62058,62058,"star","",0.015,""
62061,62061,"star","",0.015,""
62064,62064,"star","",0.015,""
62066,62066,"star","",0.015,""
62068,62068,"star","",0.015,""
62072,62072,"star","",0.015,""
62082,62082,"star","",0.015,""
62088,62088,"star","",0.015,""
62091,62091,"star","",0.015,""
62092,62092,"star","",0.015,""
62093,62093,"star","",0.015,""
62094,62094,"star","",0.015,""
62095,62095,"star","",0.015,""
62096,62096,"star","",0.015,""
62115,62115,"star","",0.015,""
62117,62117,"star","",0.015,""
62118,62118,"star","",0.015,""
62123,62123,"star","",0.015,""
62124,62124,"star","",0.015,""
62125,62125,"star","",0.015,""
62128,62128,"star","",0.015,""
62138,62138,"star","",0.015,""
62140,62140,"star","",0.015,""
62141,62141,"star","",0.015,""
62144,62144,"star","",0.015,""
62145,62145,"star","",0.015,""
62150,62150,"star","",0.015,""
62151,62151,"star","",0.015,""
62153,62153,"star","",0.015,""
62155,62155,"star","",0.015,""
62156,62156,"star","",0.015,""
62157,62157,"star","",0.015,""
62158,62158,"star","",0.015,""
62161,62161,"star","",0.015,""
62162,62162,"star","",0.015,""
62165,62165,"star","",0.015,""
62167,62167,"star","",0.015,""
62171,62171,"star","",0.015,""
62178,62178,"star","",0.015,""
62179,62179,"star","",0.015,""
62181,62181,"star","",0.015,""
62191,62191,"star","",0.015,""
62195,62195,"star","",0.015,""
62196,62196,"star","",0.015,""
62198,62198,"star","",0.015,""
62202,62202,"star","",0.015,""
62203,62203,"star","",0.015,""
62211,62211,"star","",0.015,""
62212,62212,"star","",0.015,""
62213,62213,"star","",0.015,""
62217,62217,"star","",0.015,""
62219,62219,"star","",0.015,""
62225,62225,"star","",0.015,""
62226,62226,"star","",0.015,""
62227,62227,"star","",0.015,""
62230,62230,"star","",0.015,""
62235,62235,"star","",0.015,""
62241,62241,"star","",0.015,""
62249,62249,"star","",0.015,""
62257,62257,"star","",0.015,""
62258,62258,"star","",0.015,""
62259,62259,"star","",0.015,""
62263,62263,"star","",0.015,""
62264,62264,"star","",0.015,""
62278,62278,"star","",0.015,""
62279,62279,"star","",0.015,""
62281,62281,"star","",0.015,""
62282,62282,"star","",0.015,""
62284,62284,"star","",0.015,""
62285,62285,"star","",0.015,""
62286,62286,"star","",0.015,""
62292,62292,"star","",0.015,""
62295,62295,"star","",0.015,""
62296,62296,"star","",0.015,""
62301,62301,"star","",0.015,""
62302,62302,"star","",0.015,""
62303,62303,"star","",0.015,""
62305,62305,"star","",0.015,""
62308,62308,"star","",0.015,""
62312,62312,"star","",0.015,""
62315,62315,"star","",0.015,""
62316,62316,"star","",0.015,""
62317,62317,"star","",0.015,""
62318,62318,"star","",0.015,""
62319,62319,"star","",0.015,""
62321,62321,"star","",0.015,""
62322,62322,"star","",0.015,""
62323,62323,"star","",0.015,""
62334,62334,"star","",0.015,""
62335,62335,"star","",0.015,""
62338,62338,"star","",0.015,""
62343,62343,"star","",0.015,""
62345,62345,"star","",0.015,""
62346,62346,"star","",0.015,""
62347,62347,"star","",0.015,""
62351,62351,"star","",0.015,""
62356,62356,"star","",0.015,""
62358,62358,"star","",0.015,""
62362,62362,"star","",0.015,""
62364,62364,"star","",0.015,""
62365,62365,"star","",0.015,""
62366,62366,"star","",0.015,""
62367,62367,"star","",0.015,""
62371,62371,"star","",0.015,""
62376,62376,"star","",0.015,""
62377,62377,"star","",0.015,""
62378,62378,"star","",0.015,""
62379,62379,"star","",0.015,""
62380,62380,"star","",0.015,""
62381,62381,"star","",0.015,""
62385,62385,"star","",0.015,""
62386,62386,"star","",0.015,""
62393,62393,"star","",0.015,""
62400,62400,"star","",0.015,""
62401,62401,"star","",0.015,""
62402,62402,"star","",0.015,""
62404,62404,"star","",0.015,""
62406,62406,"star","",0.015,""
62407,62407,"star","",0.015,""
62408,62408,"star","",0.015,""
62412,62412,"star","",0.015,""
62419,62419,"star","",0.015,""
62423,62423,"star","",0.015,""
62431,62431,"star","",0.015,""
62434,62434,"star","",0.015,""
62435,62435,"star","",0.015,""
62436,62436,"star","",0.015,""
62437,62437,"star","",0.015,""
62447,62447,"star","",0.015,""
62452,62452,"star","",0.015,""
62454,62454,"star","",0.015,""
62457,62457,"star","",0.015,""
62459,62459,"star","",0.015,""
62465,62465,"star","",0.015,""
62469,62469,"star","",0.015,""
62475,62475,"star","",0.015,""
62476,62476,"star","",0.015,""
62477,62477,"star","",0.015,""
62478,62478,"star","",0.015,""
62483,62483,"star","",0.015,""
62485,62485,"star","",0.015,""
62487,62487,"star","",0.015,""
62488,62488,"star","",0.015,""
62503,62503,"star","",0.015,""
62506,62506,"star","",0.015,""
62510,62510,"star","",0.015,""
62513,62513,"star","",0.015,""
62522,62522,"star","",0.015,""
62523,62523,"star","",0.015,""
62530,62530,"star","",0.015,""
62535,62535,"star","",0.015,""
62539,62539,"star","",0.015,""
62541,62541,"star","",0.015,""
62542,62542,"star","",0.015,""
62545,62545,"star","",0.015,""
62549,62549,"star","",0.015,""
62550,62550,"star","",0.015,""
62553,62553,"star","",0.015,""
